,gene,bimodal,expo,gamma,longtail,other,winner
0,0610006I08Rik,,1.0,,,,expo
1,0610007C21Rik,,1.0,,,,expo
2,0610007N19Rik,,,1.0,,,gamma
3,0610007P14Rik,,4.0,3.0,,2.0,expo
4,0610007P22Rik,,,2.0,,3.0,other
5,0610009B22Rik,,1.0,5.0,,,gamma
6,0610009D07Rik,,,1.0,,,gamma
7,0610009O20Rik,,,,,1.0,other
8,0610010B08Rik,,,,,2.0,other
9,0610010B08Rik ,,,,,2.0,other
10,0610010D20Rik,,1.0,,,,expo
11,0610010F05Rik,,1.0,,,,expo
12,0610010K06Rik,,,1.0,,,gamma
13,0610010K14Rik,,2.0,,,3.0,other
14,0610011F06Rik,,,1.0,,3.0,other
15,0610012G03Rik,1.0,3.0,1.0,,2.0,expo
16,0610013E23Rik,,,,,1.0,other
17,0610025P10Rik,,1.0,1.0,,2.0,other
18,0610031J06Rik,,,2.0,,,gamma
19,0610037D15Rik,,1.0,,,4.0,other
20,0610037L13Rik,,,6.0,,1.0,gamma
21,0610037P05Rik,,,3.0,,2.0,gamma
22,0610038D11Rik,,,1.0,,,gamma
23,0610038F07Rik,,1.0,,,,expo
24,0610040B10Rik,,1.0,,,,expo
25,0610040J01Rik,,,1.0,,,gamma
26,0910001A06Rik,,1.0,,1.0,3.0,other
27,100041294,,,1.0,,,gamma
28,1110001A07Rik,,,1.0,,4.0,other
29,1110001J03Rik,,,,,1.0,other
30,1110002J07Rik,,,1.0,,,gamma
31,1110003E01Rik,,1.0,,,,expo
32,1110004F10Rik,,,3.0,,,gamma
33,1110006G06Rik,,1.0,,,,expo
34,1110007A13Rik,1.0,,,4.0,,longtail
35,1110007C09Rik,,,2.0,,,gamma
36,1110007L15Rik,,3.0,5.0,3.0,1.0,gamma
37,1110007M04Rik,,1.0,,1.0,3.0,other
38,1110008F13Rik,,2.0,1.0,,,expo
39,1110012J17Rik,,,1.0,,,gamma
40,1110012M11Rik,,,,,3.0,other
41,1110014J01Rik,,,3.0,,1.0,gamma
42,1110014N23Rik,,,1.0,,,gamma
43,1110017D15Rik,,,1.0,,2.0,other
44,1110018G07Rik,,,4.0,,1.0,gamma
45,1110018J18Rik,,,,,1.0,other
46,1110020A21Rik,,1.0,,,,expo
47,1110020P15Rik,,1.0,,,,expo
48,1110029I05Rik,,,1.0,,,gamma
49,1110031I02Rik,,,1.0,,,gamma
50,1110032A03Rik,,,,,3.0,other
51,1110032A13Rik,,,1.0,,,gamma
52,1110032E23Rik,,1.0,,,,expo
53,1110032F04Rik,,2.0,,,1.0,expo
54,1110032O16Rik,2.0,,,,1.0,bimodal
55,1110033M05Rik,,,1.0,,,gamma
56,1110036O03Rik,,,1.0,,,gamma
57,1110038B12Rik,,,1.0,,,gamma
58,1110038D17Rik,,,1.0,,,gamma
59,1110038F14Rik,,4.0,2.0,1.0,,expo
60,1110039B18Rik,,1.0,2.0,,,gamma
61,1110046J04Rik,,,1.0,,,gamma
62,1110049B09Rik,,,1.0,,3.0,other
63,1110049F12Rik,,1.0,,,,expo
64,1110051M20Rik,,1.0,2.0,,3.0,other
65,1110058L19Rik,,,,,1.0,other
66,1110059E24Rik,,5.0,2.0,,4.0,expo
67,1190002H23Rik,,1.0,,,,expo
68,1190002N15Rik,2.0,1.0,1.0,,,bimodal
69,1190003J15Rik,,,1.0,,,gamma
70,1190005F20Rik,,1.0,,,,expo
71,1190005I06Rik,,5.0,2.0,,,expo
72,1190005P17Rik,,1.0,1.0,,2.0,other
73,1190007F08Rik,,1.0,1.0,,2.0,other
74,1190007I07Rik,,,2.0,,,gamma
75,1190017O12Rik,,,1.0,,,gamma
76,1200002N14Rik,,,,,1.0,other
77,1200003C05Rik,1.0,4.0,1.0,,3.0,expo
78,1200003I07Rik,1.0,4.0,3.0,,,expo
79,1200009F10Rik,2.0,1.0,,,1.0,bimodal
80,1200009O22Rik,,1.0,,,,expo
81,1200011M11Rik,,1.0,,,,expo
82,1200011O22Rik,,,1.0,,,gamma
83,1200013B08Rik,,,1.0,,,gamma
84,1200013P24Rik,1.0,1.0,,,2.0,other
85,1200014J11Rik,,3.0,4.0,,,gamma
86,1200015F23Rik,,1.0,,,,expo
87,1200015M12Rik,,2.0,,,,expo
88,1200016B10Rik,1.0,1.0,3.0,,2.0,gamma
89,1300002E11Rik,,,1.0,,,gamma
90,1300010F03Rik,,,1.0,,,gamma
91,1300010M03Rik,,,,,2.0,other
92,1300013J15Rik,,,,,1.0,other
93,1300014I06Rik,,,1.0,,,gamma
94,1300018I05Rik,,1.0,,1.0,2.0,other
95,1500002O20Rik,,3.0,,,1.0,expo
96,1500003O22Rik,,,1.0,,,gamma
97,1500005K14Rik,,,1.0,,,gamma
98,1500009C09Rik,,1.0,,,,expo
99,1500009L16Rik,,,2.0,,,gamma
100,1500010J02Rik,,,4.0,,,gamma
101,1500011B03Rik,,,,,1.0,other
102,1500011H22Rik,,3.0,2.0,,,expo
103,1500011K16Rik,,,1.0,,,gamma
104,1500012F01Rik,,4.0,,1.0,,expo
105,1500031L02Rik,,1.0,,,,expo
106,1500034J01Rik,,1.0,,,,expo
107,1600002K03Rik,,,,,1.0,other
108,1600012H06Rik,,1.0,8.0,,2.0,gamma
109,1600014C23Rik,,,1.0,,,gamma
110,1600020E01Rik,,,1.0,,,gamma
111,1600021P15Rik,,,,,1.0,other
112,1600027N09Rik,,,,,4.0,other
113,1600029D21Rik,,,1.0,,,gamma
114,1700001G11Rik,,1.0,,,,expo
115,1700001O22Rik,,,1.0,,,gamma
116,1700003E16Rik,,,1.0,,,gamma
117,1700003F12Rik,,1.0,1.0,,2.0,other
118,1700003M07Rik,,,1.0,,,gamma
119,1700006J14Rik,,1.0,,,,expo
120,1700007E06Rik,,,1.0,,,gamma
121,1700007G11Rik,,1.0,,,,expo
122,1700007K13Rik,,4.0,1.0,,,expo
123,1700010I14Rik,,2.0,,,1.0,expo
124,1700012B09Rik,,,1.0,,,gamma
125,1700013G10Rik,1.0,,,,,bimodal
126,1700016C15Rik,,,2.0,,,gamma
127,1700016K19Rik,,2.0,,,,expo
128,1700017B05Rik,,,2.0,,1.0,gamma
