,gene,alpha,beta,rss,rmse,alpha_err,beta_err,model
0,0610006I08Rik,1.0,0.1876602806221177,0.12236470356161794,0.15643829682121826,,0.06999111106614953,expo
1,0610007C21Rik,1.0,0.16268469699420512,0.24864909523113193,0.24932363267003588,,0.046306674631426965,expo
2,0610007N19Rik,1.0,0.1778064229607442,0.10769373555196823,0.1467608500602039,,0.01918508968085676,expo
3,0610007P08Rik,1.0,0.1688760747950648,0.10712664506059276,0.1463739355627174,,0.1351164836240797,expo
4,0610007P14Rik,1.0,0.5894262783863358,0.2088959214626702,0.2285256667546723,,0.0889810086281165,expo
5,0610007P22Rik,1.0,0.07231305457042293,0.6243398016617124,0.39507587931361754,,0.08151280444616633,expo
6,0610009D07Rik,1.0,0.16156481930164387,0.2622740568628309,0.2560634964529457,,0.03746180758543496,expo
7,0610010D20Rik,1.0,0.1543848978753966,0.1839339698851992,0.19179883726717384,,0.13543272059474618,expo
8,0610010K06Rik,1.0,0.16386834509394418,0.20810925650678597,0.228094967341887,,0.09042886723441557,expo
9,0610010K14Rik,1.0,0.24701065013729068,0.09035072245691134,0.1502919845308719,,0.0904664311306548,expo
10,0610011F06Rik,1.0,0.13587873198995484,0.17276125075531834,0.1858823556743987,,0.03487900419314909,expo
11,0610013E23Rik,1.0,0.35129089943677344,0.9091368059437575,0.4767433287272506,,0.06808935087201204,expo
12,0610037D15Rik,1.0,0.259299282847842,0.05978112987937833,0.109344528788027,,0.12767056061663054,expo
13,0610037P05Rik,1.0,0.103381294616547,0.771566164683946,0.3319996051383078,,0.07502112248166672,expo
14,0610038D11Rik,1.0,0.12922791457158794,0.08631392646334354,0.13138791912755415,,0.15082156788244638,expo
15,0610038F07Rik,1.0,0.3283533778070881,0.048696080422776164,0.11033594203927405,,0.09712839548793847,expo
16,0610040B10Rik,1.0,0.3138809668296584,0.04894936831643983,0.09894379042308803,,0.10656753007373135,expo
17,0610040J01Rik,1.0,0.0874714646335345,0.40721190771921767,0.285381116305623,,0.07806993923785799,expo
18,100041294,1.0,0.1039520097390212,0.3775682110519612,0.30723289661589026,,0.09531987568201862,expo
19,1110001A07Rik,1.0,0.12299991301318025,0.13664368448244701,0.1653140553506852,,0.05688370090456087,expo
20,1110001J03Rik,1.0,0.023654386566799284,0.8243388042051123,0.4060391124522642,,0.04823952357726987,expo
21,1110003E01Rik,1.0,0.43430722126361887,0.1044179815689136,0.14451157847654533,,0.08843162546962277,expo
22,1110004F10Rik,1.0,0.059555978756294516,0.5540190501140313,0.3721622798303286,,0.09576430646964905,expo
23,1110006G06Rik,1.0,0.14693691156573765,0.1779644279767249,0.17222293109839007,,0.08369586085267045,expo
24,1110007A13Rik,1.0,0.3131368935564472,0.21680511865289454,0.23281168283233475,,0.2292787723036347,expo
25,1110007L15Rik,1.0,0.08519734378885852,0.5661674176262599,0.3762204864259321,,0.0778089374456981,expo
26,1110007M04Rik,1.0,0.22769189162313191,0.09706808494280766,0.15577875733135732,,0.10025877382317774,expo
27,1110008F13Rik,1.0,0.06373440368467652,0.3150507875352821,0.2510182413830844,,0.07510812914258529,expo
28,1110008P14Rik,1.0,0.0643412270499211,0.2949442252865137,0.22171461584903604,,0.022473914687364153,expo
29,1110012D08Rik,1.0,0.41358618721359175,0.13738111355409646,0.18532479161872573,,0.1511505776509062,expo
30,1110012J17Rik,1.0,0.24664284806783449,0.24149152750199193,0.2197687546044669,,0.032618138977079915,expo
31,1110012L19Rik,1.0,0.10062650562100157,0.11060540880798403,0.14873157620894364,,0.05539009907467015,expo
32,1110014N23Rik,1.0,0.18902921476573592,0.13495245493159677,0.14997358374704792,,0.11635754685259944,expo
33,1110018G07Rik,1.0,0.3227776455392478,0.6881022546865722,0.3135288217980633,,0.11397889453012132,expo
34,1110018J18Rik,1.0,0.14907311448811555,0.8655963734269082,0.41607604435413204,,0.10197145622158613,expo
35,1110020P15Rik,1.0,0.2908620779338043,0.04560365013991169,0.09550251320244058,,0.09616566419090812,expo
36,1110029I05Rik,1.0,0.27119990894691054,0.3348245072649599,0.2893201113234957,,0.1207720339990016,expo
37,1110031B06Rik,1.0,0.2838455971857834,0.16573055048506777,0.2035500862718239,,0.16960710448247515,expo
38,1110031I02Rik,1.0,0.2570312218586806,0.12669000650442183,0.15917914844879766,,0.02164779207638606,expo
39,1110032A13Rik,1.0,0.2612122980671739,0.4853938405696306,0.34835105876458544,,0.18260966643201176,expo
40,1110032E23Rik,1.0,0.29623503299210957,0.12346716906209616,0.1756894768206794,,0.10964407463934528,expo
41,1110033M05Rik,1.0,0.10980419845807089,0.3899282786849696,0.2792591193443715,,0.037637221962144085,expo
42,1110036O03Rik,1.0,0.23096077119654568,0.054881336742909625,0.10476768274893707,,0.13420308785439009,expo
43,1110038B12Rik,1.0,0.16256021786084732,0.606580529929782,0.3483046166589763,,0.11219282587576886,expo
44,1110038D17Rik,1.0,0.13525279801507636,0.23549888012931985,0.21702482813232216,,0.09123536817193793,expo
45,1110038F14Rik,1.0,0.18018464080754193,0.20657301542824408,0.22725152113255703,,0.08825547062045416,expo
46,1110039B18Rik,1.0,0.17889461412208615,0.3484150037120205,0.26397537904585744,,0.08438472611047898,expo
47,1110049F12Rik,1.0,0.3385410179801907,0.2934235751700908,0.24224928283488925,,0.13564493505517736,expo
48,1110057K04Rik,1.0,0.24333689380850956,0.052330427406042455,0.09339024521333626,,0.06937410139457034,expo
49,1110058L19Rik,1.0,0.031590945550496866,0.8430159033056372,0.4106131764338883,,0.042996414157416625,expo
50,1110059E24Rik,1.0,0.14684411653655563,0.45356590344607667,0.3011862890126563,,0.07620558215601467,expo
51,1110065P20Rik,1.0,0.05420186095425772,1.323780813631097,0.5145446168469935,,0.1407474850084783,expo
52,1110067D22Rik,1.0,0.16614364939818804,0.3539779290566525,0.2660743990152576,,0.05131302768690161,expo
53,1190002H23Rik,1.0,0.20800031934327942,0.1524384179657048,0.17460722663492756,,0.05274439599783138,expo
54,1190002N15Rik,1.0,0.2645015906494415,0.2551959041547425,0.20623445563837553,,0.16078858018260112,expo
55,1190003J15Rik,1.0,0.12812785645611025,0.462724278058906,0.3042118597487304,,0.028447442756100682,expo
56,1190005F20Rik,1.0,0.3863028955667225,0.0817062788499739,0.10803853733736066,,0.18778572072148206,expo
57,1190007F08Rik,1.0,0.6656745333680375,0.007368347386031855,0.04291953921593245,,0.37110706944414906,expo
58,1190007I07Rik,1.0,0.06081482578725537,0.4701832713797333,0.27993549000312357,,0.03913316088795161,expo
59,1190017O12Rik,1.0,0.1274819174923791,0.08708422183107711,0.12047421704184753,,0.16035634367143398,expo
60,1200002N14Rik,1.0,3.577552013388782e-19,1.833612932426498,0.6055762433296897,,0.0267399593305731,expo
61,1200003C05Rik,1.0,0.0457129901520744,0.343577148182357,0.239296590093534,,0.050598792655685544,expo
62,1200003I07Rik,1.0,0.09639037200016116,0.26799061448918093,0.21134119904756737,,0.07736802353545204,expo
63,1200009O22Rik,1.0,0.40603547312123006,0.06830743856464128,0.1306784589791306,,0.07618859242366643,expo
64,1200011O22Rik,1.0,0.025069065358185677,0.6965808634779969,0.3732508174078114,,0.028679046728729646,expo
65,1200013B08Rik,1.0,0.0715577799364977,0.31787595469288404,0.23017238275289967,,0.014312752244741473,expo
66,1200014J11Rik,1.0,0.1933585443118688,0.19118748325632012,0.21862495469200224,,0.0592621032252029,expo
