,gene,best_fit
2,1110051M20Rik,other
3,1110059G10Rik,other
4,1600012H06Rik,other
5,1700003F12Rik,other
6,1700010B08Rik,other
10,1700029H14Rik,other
11,1700037H04Rik,other
15,2310033P09Rik,other
17,2410004B18Rik,other
20,2610002M06Rik,other
24,3110009E18Rik,other
27,4930503L19Rik,other
29,4930563E22Rik,other
31,5330417C22Rik,other
33,5730455P16Rik,other
36,9030624G23Rik,other
39,Aagab,other
40,Aamdc,other
41,Aar2,other
43,Aasdhppt,other
46,Abcb6,other
47,Abcd1,other
51,Abhd17c,other
52,Abitram,other
59,Acadvl,other
60,Acat2,other
62,Acot10,other
65,Actl7b,other
66,Actr3,other
67,Actrt3,other
70,Acy1,other
72,Adam15,other
73,Adamts10,other
77,Adgrb2,other
78,Adgre5,other
85,Adrb2,other
86,Aen,other
92,Agt,other
93,Agtr1b,other
98,Ak4,other
101,Akr1b8,other
103,Akr7a5,other
106,Alg10b,other
108,Alkbh2,other
109,Alkbh7,other
116,Anapc5,other
119,Ank3,other
120,Ankrd13a,other
123,Ankrd34a,other
124,Ankrd39,other
126,Ankrd52,other
130,Antxr2,other
134,Ap1s3,other
135,Ap2b1,other
136,Ap4s1,other
140,Apoc2,other
141,Apoc4,other
150,Arap2,other
151,Areg,other
158,Arhgap25,other
161,Arhgdib,other
162,Arhgef1,other
163,Arhgef2,other
164,Arhgef3,other
165,Arid5a,other
166,Arih2,other
169,Arl16,other
176,Armcx3,other
178,Arrb2,other
180,Arrdc3,other
182,Asah2,other
183,Ascc1,other
184,Asxl1,other
186,Atg10,other
187,Atg101,other
188,Atg16l2,other
192,Atic,other
194,Atp13a1,other
199,Atp6ap2,other
200,Atp6v1c2,other
203,Atpsckmt,other
205,Atxn10,other
207,Atxn3,other
209,Atxn7l3,other
210,Auh,other
211,Aven,other
212,Avil,other
213,Avpi1,other
214,Azi2,other
216,B3gnt2,other
221,BC003965,other
226,Bambi,other
232,Bckdk,other
233,Bcl10,other
238,Bcl2l12,other
239,Bcl6,other
242,Bcs1l,other
243,Bean1,other
247,Bet1l,other
248,Bex2,other
253,Bivm,other
256,Bloc1s4,other
257,Bmp2k,other
258,Bmp7,other
261,Borcs6,other
264,Brd7,other
268,Btbd2,other
272,Bud31,other
273,C1galt1,other
276,C2cd4b,other
281,Cacna1g,other
283,Cacybp,other
284,Cad,other
288,Calu,other
289,Camk1d,other
294,Capn1,other
301,Casp2,other
304,Cast,other
306,Cbx2,other
309,Ccdc107,other
312,Ccdc181,other
313,Ccdc186,other
315,Ccdc59,other
316,Ccdc69,other
318,Ccdc77,other
319,Ccdc85b,other
321,Cckar,other
327,Ccndbp1,other
331,Cd101,other
333,Cd163l1,other
334,Cd2,other
340,Cd37,other
345,Cd69,other
347,Cd86,other
350,Cdc16,other
354,Cdipt,other
355,Cdk5r1,other
359,Cdkn2aip,other
361,Cds2,other
365,Cep19,other
370,Cep85,other
374,Cers6,other
381,Champ1,other
385,Chka,other
386,Chmp1b,other
387,Chn2,other
390,Chrne,other
393,Chst2,other
395,Churc1,other
396,Ciao1,other
397,Cirbp,other
399,Ckap4,other
401,Cldn19,other
403,Clip3,other
405,Cltb,other
406,Cmas,other
409,Cnih2,other
412,Cnot6l,other
414,Cnppd1,other
415,Cnrip1,other
416,Cnst,other
418,Cog4,other
419,Col15a1,other
420,Col4a4,other
422,Colec11,other
423,Colgalt1,other
424,Commd4,other
425,Comtd1,other
426,Cops7a,other
427,Coq10a,other
429,Coro1a,other
433,Cplane1,other
436,Cpne3,other
437,Cpsf3,other
438,Cramp1l,other
439,Creb5,other
442,Crk,other
443,Crkl,other
444,Crppa,other
445,Crtam,other
446,Crtap,other
451,Csf1,other
454,Csnk1a1,other
457,Csrnp1,other
458,Cstad,other
464,Ctsg,other
466,Cttn,other
467,Ctxn1,other
472,Cwf19l1,other
476,Cyb5d1,other
479,Cyfip2,other
480,Cyp2c37,other
482,Cyp4v3,other
486,Czib,other
487,D030056L22Rik,other
493,D3Ertd751e,other
495,Dap3,other
497,Dapk3,other
498,Dars,other
502,Dcaf4,other
505,Dcp1b,other
506,Dcp2,other
513,Ddx18,other
514,Ddx31,other
516,Ddx56,other
518,Dedd,other
520,Defb21,other
523,Dennd4c,other
524,Depdc5,other
528,Dguok,other
529,Dhcr7,other
530,Dhodh,other
537,Dimt1,other
544,Dlg5,other
547,Dmrtc1c1,other
548,Dnaaf4,other
550,Dnajb1,other
551,Dnajb4,other
554,Dnajc11,other
557,Dnajc19,other
558,Dnajc21,other
559,Dnajc24,other
560,Dnase1l1,other
564,Dnttip2,other
565,Dock7,other
567,Donson,other
568,Dpf1,other
572,Dpp8,other
573,Dpy19l3,other
574,Dram2,other
576,Dst,other
581,Dusp19,other
585,Dusp8,other
590,Ear1,other
593,Eci1,other
597,Edn2,other
600,Eef1e1,other
601,Efcab14,other
604,Efnb2,other
605,Egr4,other
606,Ehmt1,other
607,Eid1,other
610,Eif3g,other
611,Eif3h,other
620,Emc10,other
621,Emg1,other
622,Eml2,other
623,Eml3,other
628,Enpp2,other
629,Enthd1,other
633,Erc1,other
634,Ercc3,other
635,Ercc6l2,other
636,Erich3,other
637,Erlin1,other
639,Ero1lb,other
644,Etv6,other
646,Evi5,other
647,Evi5l,other
652,Exoc8,other
653,Exosc3,other
654,Ext2,other
661,Fads3,other
662,Fads6,other
665,Fam104a,other
668,Fam168b,other
673,Fam222a,other
675,Fam25c,other
676,Fam3a,other
678,Fam43a,other
681,Fam49b,other
692,Fbxo25,other
697,Fbxo46,other
699,Fbxo8,other
705,Fech,other
706,Fem1b,other
707,Fem1c,other
708,Fgd5,other
710,Fgf13,other
711,Fgf16,other
712,Fgf18,other
713,Fgf9,other
715,Fhl3,other
717,Ficd,other
718,Fkrp,other
721,Flot1,other
724,Fn1,other
725,Fnbp1l,other
726,Fndc9,other
734,Fubp3,other
735,Fuca1,other
736,Fxyd5,other
739,G0s2,other
745,Gadd45a,other
748,Galnt1,other
751,Galnt7,other
756,Gas1,other
757,Gas6,other
758,Gas7,other
759,Gata3,other
761,Gba,other
764,Gbp7,other
766,Gdf7,other
768,Gemin6,other
771,Gfer,other
775,Ggt1,other
776,Gimap5,other
779,Gjb4,other
782,Gldc,other
784,Glp1r,other
785,Glrx2,other
786,Glt28d2,other
787,Gltp,other
790,Gm10654,other
792,Gm11938,other
793,Gm12500,other
794,Gm20939,other
795,Gm266,other
796,Gm3250,other
798,Gm49359,other
800,Gmpr2,other
801,Gna13,other
802,Gna14,other
807,Gnpda2,other
810,Golim4,other
814,Gpalpp1,other
816,Gpatch1,other
822,Gpn3,other
824,Gpr132,other
825,Gpr171,other
826,Gpr174,other
827,Gpr183,other
833,Grap,other
834,Grb7,other
835,Grcc10,other
840,Grm2,other
841,Gsdmd,other
843,Gss,other
844,Gsta4,other
846,Gstt2,other
847,Gtf2a2,other
848,Gtf2b,other
850,Gtf2h2,other
851,Gtf2h3,other
856,Guk1,other
862,H2-DMa,other
866,H2-T23,other
868,H2aj,other
878,Hcst,other
883,Heatr4,other
885,Hes5,other
888,Hexim1,other
890,Hid1,other
896,Hmces,other
897,Hmg20b,other
909,Hs1bp3,other
911,Hsd17b10,other
913,Hsh2d,other
914,Hspa5,other
915,Hspbp1,other
917,Htra3,other
929,Iffo1,other
930,Ifi27l2a,other
931,Ifi35,other
933,Ifih1,other
935,Ifit2,other
937,Ifnar2,other
943,Ift57,other
946,Ift88,other
950,Igsf8,other
951,Iigp1,other
956,Il17b,other
957,Il17rb,other
965,Immp1l,other
966,Immt,other
971,Inafm2,other
973,Ing5,other
977,Inppl1,other
979,Ints3,other
981,Ipmk,other
982,Ipo11,other
984,Ipo9,other
985,Iqcb1,other
989,Irf3,other
991,Irf9,other
993,Irs3,other
994,Iscu,other
995,Ism2,other
1002,Itgb8,other
1006,Jph3,other
1007,Jtb,other
1008,Jun,other
1011,Kat8,other
1012,Katnbl1,other
1017,Kcnj15,other
1021,Kcnq5,other
1023,Kctd17,other
1029,Kif1c,other
1030,Kif3a,other
1035,Klf14,other
1038,Klf9,other
1048,Klrd1,other
1052,Kpnb1,other
1055,L3mbtl1,other
1057,Lad1,other
1058,Lamp1,other
1059,Lamtor2,other
1061,Larp1,other
1062,Larp1b,other
1064,Lats2,other
1065,Lce1i,other
1066,Lce1k,other
1068,Ldc1,other
1070,Leng1,other
1073,Lgals3bp,other
1082,Lipo3,other
1083,Lipt2,other
1085,Lmbrd1,other
1086,Lmf1,other
1088,Lnx2,other
1089,Lpcat1,other
1093,Lratd1,other
1095,Lrp12,other
1096,Lrrc49,other
1099,Lrrc8a,other
1102,Lrrc8d,other
1103,Lrrcc1,other
1105,Lsm8,other
1106,Lsr,other
1107,Lta4h,other
1109,Lypla2,other
1112,Maf1,other
1113,Maff,other
1116,Maip1,other
1119,Man2a1,other
1120,Manea,other
1124,Map3k11,other
1128,Mapkapk5,other
1131,Marchf4,other
1132,Mark2,other
1133,Mat2b,other
1134,Matn2,other
1135,Maz,other
1140,Mcm7,other
1142,Mcoln2,other
1144,Mctp2,other
1145,Mcur1,other
1149,Med25,other
1150,Med28,other
1152,Med8,other
1157,Mettl23,other
1158,Mettl5,other
1160,Mfap2,other
1162,Mfsd6,other
1165,Micos13,other
1166,Milr1,other
1167,Minpp1,other
1168,Mipol1,other
1169,Misp3,other
1173,Mmaa,other
1174,Mmab,other
1175,Mmd,other
1176,Mmp10,other
1177,Mmp2,other
1178,Mmp9,other
1183,Mob3a,other
1186,Mocs3,other
1187,Mosmo,other
1190,Mpnd,other
1199,Mroh5,other
1200,Mrpl15,other
1201,Mrpl24,other
1202,Mrpl32,other
1204,Mrps18b,other
1205,Mrps6,other
1207,Mrs2,other
1208,Ms4a15,other
1211,Msh2,other
1216,Mta1,other
1217,Mtarc2,other
1218,Mtcp1,other
1219,Mtf1,other
1222,Mthfd1l,other
1225,Mtif3,other
1227,Mtmr1,other
1228,Mtmr14,other
1233,Mtres1,other
1235,Muc20,other
1239,Mxra8,other
1240,Myb,other
1243,Mymk,other
1244,Myo10,other
1245,Myo19,other
1246,Myo1b,other
1254,Naga,other
1261,Ncbp1,other
1264,Ncf1,other
1266,Nckap1,other
1267,Ncoa1,other
1269,Ncor2,other
1270,Ncstn,other
1273,Ndnf,other
1274,Ndrg1,other
1276,Ndst1,other
1278,Ndufa4l2,other
1280,Ndufa9,other
1281,Ndufaf5,other
1282,Ndufaf6,other
1285,Neb,other
1288,Nefh,other
1289,Nek4,other
1292,Nelfa,other
1296,Neurog2,other
1297,Nfe2l2,other
1302,Nfkbid,other
1303,Nfkbil1,other
1314,Nlrc5,other
1318,Nmi,other
1331,Npb,other
1335,Nphp3,other
1336,Nprl2,other
1338,Npy,other
1339,Nr1d2,other
1346,Nrn1l,other
1351,Nsun6,other
1352,Nt5c3b,other
1353,Nt5dc1,other
1356,Nup155,other
1357,Nup188,other
1358,Nup210,other
1362,Nvl,other
1366,Oasl2,other
1368,Oaz2,other
1369,Ocel1,other
1372,Odf2l,other
1376,Ola1,other
1377,Olfr1349,other
1382,Olfr666,other
1383,Olfr796,other
1385,Olfr95,other
1393,Osgin1,other
1396,Oxsr1,other
1398,P2ry6,other
1399,Pa2g4,other
1401,Pafah1b1,other
1402,Pafah1b3,other
1404,Palm3,other
1406,Pank3,other
1409,Parp12,other
1411,Parvg,other
1414,Pbrm1,other
1417,Pcnx4,other
1422,Pcyox1l,other
1424,Pdcd1lg2,other
1434,Peak1,other
1435,Penk,other
1436,Per1,other
1440,Pex16,other
1442,Pfdn2,other
1444,Pfn1,other
1445,Pfn4,other
1446,Pgap2,other
1449,Pgls,other
1456,Phf7,other
1458,Phyh,other
1463,Pigm,other
1464,Pik3c3,other
1466,Pik3r1,other
1470,Pip5k1c,other
1473,Pla2g3,other
1475,Plagl2,other
1478,Plcxd2,other
1479,Plekha3,other
1485,Plin3,other
1487,Plpp7,other
1492,Plxnb2,other
1495,Pms2,other
1498,Poc1b,other
1499,Podnl1,other
1500,Poglut2,other
1501,Pole4,other
1502,Polg2,other
1503,Polr1c,other
1504,Polr1e,other
1506,Pon2,other
1517,Ppp1r12a,other
1518,Ppp1r15a,other
1526,Ppp3cb,other
1528,Ppp3r1,other
1531,Prcc,other
1533,Prdm8,other
1534,Prdx6,other
1537,Prkaa1,other
1540,Prkaca,other
1553,Prpf40a,other
1554,Prpsap1,other
1556,Prr3,other
1557,Prr30,other
1559,Prrt1,other
1560,Prss12,other
1563,Prxl2b,other
1564,Psme4,other
1568,Ptges3,other
1574,Ptpn4,other
1583,Pvrig,other
1587,Pyurf,other
1588,Qk,other
1590,R3hdm4,other
1591,Rab10,other
1593,Rab11b,other
1597,Rab2a,other
1598,Rab33b,other
1603,Rac2,other
1606,Rad54l2,other
1616,Rapgef1,other
1617,Rapgef2,other
1618,Rars,other
1620,Rasal1,other
1626,Rbl2,other
1633,Rcbtb2,other
1638,Rdm1,other
1639,Rdx,other
1642,Recql5,other
1645,Rell1,other
1646,Rell2,other
1647,Repin1,other
1650,Rfc1,other
1655,Rgs19,other
1656,Rgs2,other
1658,Rhbdd1,other
1660,Rhbdf1,other
1663,Rhno1,other
1671,Rin1,other
1672,Rin3,other
1673,Rint1,other
1674,Riox1,other
1675,Ripk1,other
1676,Ripk2,other
1679,Rit1,other
1680,Rmc1,other
1683,Rnasek,other
1684,Rnasel,other
1686,Rnf113a2,other
1691,Rnf168,other
1692,Rnf187,other
1699,Rnf44,other
1701,Rnf7,other
1702,Rnpc3,other
1707,Rps6ka1,other
1713,Rspry1,other
1718,Runx3,other
1719,Rwdd2a,other
1720,Rxra,other
1727,Sacs,other
1731,Sap18,other
1732,Sap30l,other
1739,Scamp2,other
1740,Scamp4,other
1741,Scap,other
1743,Scd2,other
1746,Scgb1b2,other
1748,Scn1b,other
1750,Scrt2,other
1755,Sdccag8,other
1757,Sdhaf3,other
1758,Sec14l2,other
1759,Sec24a,other
1760,Sec24c,other
1761,Sel1l,other
1767,Sema4c,other
1768,Senp3,other
1769,Sepsecs,other
1771,Septin7,other
1773,Serinc1,other
1774,Serinc5,other
1779,Sertad2,other
1781,Setd6,other
1788,Sfxn5,other
1789,Sgip1,other
1794,Sh3gl1,other
1795,Sh3gl3,other
1798,Shq1,other
1800,Siah3,other
1801,Sidt2,other
1802,Siglech,other
1805,Skil,other
1812,Slc16a4,other
1814,Slc1a4,other
1815,Slc20a1,other
1818,Slc25a10,other
1819,Slc25a2,other
1822,Slc25a30,other
1824,Slc25a37,other
1827,Slc35e4,other
1831,Slc39a6,other
1834,Slc43a2,other
1836,Slc50a1,other
1837,Slc5a5,other
1840,Slc7a10,other
1842,Slco3a1,other
1843,Slf1,other
1844,Slit3,other
1846,Slu7,other
1849,Smarca5,other
1850,Smarcc1,other
1851,Smarcd2,other
1858,Smim19,other
1860,Smim27,other
1864,Smox,other
1865,Smpd1,other
1870,Snorc,other
1871,Snrnp48,other
1873,Snrpd3,other
1875,Sntg2,other
1879,Snx17,other
1881,Snx2,other
1882,Snx6,other
1885,Socs7,other
1886,Sod2,other
1887,Sorbs1,other
1888,Sostdc1,other
1890,Sox15,other
1891,Sp110,other
1892,Spaca6,other
1893,Spag11a,other
1897,Spata5,other
1899,Spcs2,other
1901,Spidr,other
1905,Spryd7,other
1907,Sptssa,other
1915,Srrt,other
1921,Ssx2ip,other
1926,St7,other
1927,St8sia4,other
1930,Stard3,other
1935,Stat5a,other
1938,Stk26,other
1940,Stmn4,other
1941,Strada,other
1942,Strn,other
1946,Suco,other
1949,Suox,other
1950,Supt16,other
1953,Suv39h1,other
1954,Suz12,other
1955,Svbp,other
1959,Syngr4,other
1960,Synpo,other
1961,Synrg,other
1966,Szt2,other
1969,Taco1,other
1970,Taf13,other
1972,Taf1d,other
1978,Tbc1d12,other
1979,Tbc1d16,other
1981,Tbc1d22b,other
1982,Tbc1d4,other
1983,Tbc1d8b,other
1984,Tbca,other
1990,Tchhl1,other
1991,Tcl1b5,other
1993,Tctex1d1,other
1995,Tctn2,other
1997,Tead4,other
1998,Tec,other
1999,Tedc2,other
2000,Tef,other
2003,Tent5c,other
2004,Terf1,other
2011,Tg,other
2015,Thap12,other
2016,Themis,other
2018,Tia1,other
2020,Timeless,other
2022,Timm29,other
2023,Tinf2,other
2025,Tiprl,other
2026,Tlcd2,other
2030,Tmbim1,other
2031,Tmed4,other
2038,Tmem147,other
2039,Tmem151a,other
2049,Tmem217,other
2051,Tmem25,other
2052,Tmem251,other
2058,Tmem38b,other
2060,Tmem50a,other
2061,Tmem9b,other
2062,Tmprss11e,other
2068,Tnf,other
2070,Tnfrsf13b,other
2072,Tnfrsf18,other
2074,Tnfrsf23,other
2075,Tnfrsf25,other
2076,Tnfsf10,other
2080,Tnip1,other
2082,Tnk1,other
2083,Tnnt2,other
2088,Tob2,other
2091,Top1,other
2100,Tprgl,other
2102,Traf3,other
2103,Trak2,other
2104,Trap1,other
2106,Trappc11,other
2107,Trappc8,other
2112,Trim21,other
2114,Trim30a,other
2118,Trim8,other
2119,Triml1,other
2120,Trio,other
2122,Trmo,other
2124,Trmt11,other
2125,Trnau1ap,other
2127,Trp53i11,other
2128,Trp53inp2,other
2133,Tsc22d2,other
2134,Tsen15,other
2136,Tspan3,other
2138,Tspan4,other
2139,Tspyl1,other
2140,Tsr3,other
2143,Ttc33,other
2149,Ttll9,other
2150,Ttyh2,other
2152,Tubb2b,other
2153,Tubb5,other
2155,Tulp1,other
2157,Twf2,other
2159,Twsg1,other
