,gene,best_fit
1,1110017D15Rik,other
2,1110032A03Rik,other
3,1110032F04Rik,other
12,1700031F05Rik,other
15,1700066M21Rik,other
17,1810009J06Rik,other
19,2210016F16Rik,other
20,2300009A05Rik,other
21,2310033P09Rik,other
26,2610002M06Rik,other
44,AB124611,other
47,AC168977.2,other
52,Aar2,other
60,Abcf2,other
61,Abcf3,other
62,Abhd10,other
66,Abhd17c,other
68,Abitram,other
71,Abt1,other
72,Acaa1b,other
77,Acadvl,other
81,Acat2,other
85,Aco2,other
93,Acsf2,other
96,Actr10,other
97,Actr3,other
101,Acy1,other
106,Adamts10,other
107,Adar,other
123,Adrb2,other
126,Afmid,other
128,Aga,other
130,Agfg1,other
131,Agfg2,other
141,Ahsa1,other
146,Ak4,other
158,Alkbh7,other
162,Ambra1,other
163,Amn,other
164,Amn1,other
165,Ampd2,other
168,Anapc5,other
169,Ang4,other
170,Ank,other
173,Ankrd16,other
175,Ankrd44,other
177,Ankrd52,other
179,Ankrd55,other
181,Ano6,other
188,Ap3d1,other
199,Apol6,other
203,Aqr,other
204,Ar,other
205,Arcn1,other
208,Arf5,other
209,Arfgef2,other
210,Arfrp1,other
211,Arg1,other
219,Arhgap31,other
220,Arhgap9,other
221,Arhgdia,other
224,Arhgef12,other
226,Arhgef3,other
228,Arid3b,other
230,Arl11,other
234,Arl4d,other
240,Armc10,other
245,Arrdc1,other
252,Ascl2,other
255,Asna1,other
258,Aspscr1,other
260,Asxl1,other
262,Atcay,other
264,Atg10,other
266,Atg16l2,other
271,Atp10d,other
274,Atp13a3,other
291,Atpsckmt,other
292,Atrip,other
297,Atxn7l3b,other
299,Aven,other
301,Avpi1,other
302,Axin1,other
307,B3gnt2,other
315,BC031181,other
317,Bach1,other
319,Bag5,other
320,Bax,other
324,Bbs1,other
327,Bcas3,other
331,Bcl10,other
335,Bcl6,other
340,Bco2,other
344,Becn1,other
347,Bet1l,other
355,Bin2,other
357,Birc3,other
370,Brap,other
371,Brd7,other
372,Bri3bp,other
375,Brms1l,other
377,Bsdc1,other
379,Btbd1,other
392,C2cd4c,other
395,Cabcoco1,other
398,Cacnb3,other
402,Cad,other
408,Camk4,other
410,Camkmt,other
416,Capsl,other
424,Casp2,other
430,Cbfb,other
435,Ccar2,other
441,Ccdc174,other
446,Ccdc59,other
449,Ccdc82,other
458,Ccm2,other
466,Ccnq,other
471,Ccr8,other
475,Ccsap,other
476,Cct2,other
477,Cct3,other
481,Cd109,other
483,Cd164,other
493,Cd27,other
499,Cd3e,other
505,Cd69,other
507,Cd79b,other
510,Cd83,other
512,Cd8a,other
513,Cd8b1,other
514,Cd96,other
516,Cdc123,other
524,Cdc42se2,other
531,Cdk4,other
532,Cdk5r1,other
535,Cdk7,other
539,Cdkn2d,other
540,Cdnf,other
542,Cdpf1,other
544,Cds2,other
545,Cdyl2,other
557,Cep135,other
558,Cep162,other
565,Cep70,other
574,Cfap157,other
575,Cfap298,other
576,Cfap36,other
577,Cfap77,other
578,Cgas,other
589,Chmp3,other
594,Chrac1,other
604,Cib1,other
606,Cipc,other
613,Clcc1,other
624,Clip3,other
629,Cltb,other
636,Cnbp,other
640,Cnp,other
646,Coch,other
651,Commd2,other
656,Coq10a,other
659,Coq8a,other
661,Coro2b,other
664,Cox7a2l,other
669,Cpne3,other
671,Cramp1l,other
676,Crebrf,other
689,Csf2rb2,other
693,Csk,other
696,Csnk1g3,other
711,Ctps,other
715,Ctso,other
719,Cul4a,other
724,Cwc22,other
726,Cwf19l1,other
730,Cxcr4,other
733,Cyb561d2,other
734,Cyb5d1,other
736,Cybc1,other
745,D230025D16Rik,other
747,D6Wsu163e,other
752,Dazap1,other
756,Dcaf11,other
761,Dcdc2b,other
762,Dclk1,other
765,Dcp1b,other
766,Dcp2,other
768,Dctn1,other
769,Dcun1d4,other
770,Dda1,other
771,Ddhd1,other
775,Ddx21,other
778,Ddx3x,other
786,Dennd11,other
787,Depdc5,other
790,Dexi,other
794,Dgkd,other
806,Dip2a,other
808,Dis3,other
812,Dlst,other
815,Dmtn,other
816,Dnaaf5,other
828,Dnajc24,other
834,Dnm2,other
835,Dnmt3a,other
836,Dnph1,other
843,Dop1b,other
844,Dpf1,other
848,Dpm3,other
851,Dpp8,other
852,Dpy19l1,other
856,Drc1,other
858,Dst,other
861,Dtx3,other
864,Dus1l,other
869,Dusp14,other
871,Dusp2,other
872,Dusp23,other
873,Dusp3,other
876,Dusp8,other
878,Dxo,other
884,E2f4,other
888,Ebag9,other
894,Ecsit,other
896,Edem1,other
902,Eef1d,other
907,Efcab2,other
908,Efnb1,other
919,Eif2ak4,other
921,Eif2b5,other
922,Eif3b,other
923,Eif3d,other
925,Eif3g,other
927,Eif3i,other
929,Eif3l,other
930,Eif3m,other
931,Eif4a1,other
934,Eif4g1,other
935,Eif5a,other
936,Elac1,other
938,Elf1,other
939,Elf2,other
952,Eml3,other
954,Emsy,other
957,Eno3,other
964,Entr1,other
965,Eny2,other
968,Epb41,other
976,Erc1,other
978,Ercc8,other
980,Erich3,other
990,Etfrf1,other
991,Ethe1,other
992,Ets1,other
993,Ets2,other
995,Evi5l,other
996,Exd2,other
999,Exoc3l2,other
1001,Exoc5,other
1003,Exoc8,other
1005,Exosc3,other
1010,Extl3,other
1016,Faah,other
1022,Fam102a,other
1043,Fam43a,other
1046,Fam49b,other
1047,Fam53c,other
1048,Fam71a,other
1055,Fancg,other
1063,Fau,other
1067,Fbxo25,other
1080,Fdps,other
1081,Fdx1,other
1083,Fech,other
1095,Fibp,other
1096,Ficd,other
1107,Flot1,other
1110,Fmc1,other
1115,Fndc9,other
1123,Fry,other
1124,Fryl,other
1127,Fubp3,other
1130,Fxyd5,other
1132,Fzd5,other
1133,Fzr1,other
1134,G3bp2,other
1141,Gadd45gip1,other
1143,Galm,other
1145,Galnt1,other
1149,Galnt7,other
1150,Gamt,other
1158,Gatad1,other
1163,Gbp4,other
1166,Gcg,other
1170,Gdf10,other
1177,Gfi1,other
1184,Gimap6,other
1186,Gimap9,other
1187,Git2,other
1191,Glb1,other
1206,Gm10130,other
1217,Gm3055,other
1218,Gm43305,other
1219,Gm43951,other
1220,Gm45837,other
1224,Gm5617,other
1226,Gm614,other
1227,Gm6676,other
1228,Gmppa,other
1230,Gna13,other
1231,Gnas,other
1234,Gnb5,other
1235,Gng13,other
1250,Gon4l,other
1251,Gopc,other
1252,Gorab,other
1253,Gosr1,other
1260,Gpatch2l,other
1265,Gpcpd1,other
1269,Gpn1,other
1270,Gpn3,other
1274,Gpr155,other
1281,Gpr68,other
1285,Gps2,other
1286,Gpx1,other
1290,Gramd1c,other
1291,Grap,other
1300,Gsk3b,other
1307,Gtf2a2,other
1319,Guk1,other
1321,Gypc,other
1328,H2-K1,other
1331,H2-Q10,other
1334,H2aj,other
1339,Haao,other
1341,Hand1,other
1342,Hars2,other
1345,Hcfc1r1,other
1349,Hdac3,other
1359,Heatr5b,other
1364,Hectd3,other
1365,Heg1,other
1368,Herc4,other
1381,Hivep1,other
1393,Hook3,other
1396,Hoxd11,other
1397,Hoxd9,other
1401,Hps3,other
1403,Hps6,other
1407,Hsf2,other
1408,Hsh2d,other
1417,Hspd1,other
1419,Htt,other
1425,Ibtk,other
1427,Ica1l,other
1433,Idh3g,other
1434,Idnk,other
1440,Ifi208,other
1442,Ifi47,other
1444,Ifit1,other
1447,Ifitm10,other
1456,Ift57,other
1458,Ift88,other
1461,Igfbp7,other
1463,Igsf8,other
1465,Ikbkb,other
1466,Ikzf1,other
1471,Il13ra1,other
1477,Il1r1,other
1478,Il1rap,other
1483,Il2rg,other
1484,Il4,other
1492,Immp2l,other
1499,Ing5,other
1501,Inka1,other
1503,Inpp5b,other
1509,Ints5,other
1510,Ints7,other
1515,Ipo8,other
1516,Ipo9,other
1518,Iqcg,other
1527,Irgm2,other
1528,Irs3,other
1533,Ism2,other
1538,Itfg2,other
1550,Itgb8,other
1551,Itpr1,other
1552,Itpripl1,other
1555,Jak3,other
1557,Jarid2,other
1563,Kansl1,other
1564,Kansl1l,other
1565,Kansl3,other
1568,Kbtbd3,other
1569,Kbtbd7,other
1578,Kdm6b,other
