,gene,best_fit
2,0610010B08Rik,other
3,0610010B08Rik _2,other
5,0610012G03Rik_2,other
7,0610037L13Rik_1,other
10,1110004E09Rik_1,other
11,1110004E09Rik_2,other
18,1110057K04Rik,other
19,1110059E24Rik,other
20,1110059G10Rik,other
22,1190002N15Rik_1,other
27,1600012H06Rik,other
29,1600014C10Rik,other
30,1700019G17Rik_2,other
39,1700097N02Rik_2,other
48,2010107E04Rik,other
49,2010111I01Rik,other
53,2310022A10Rik,other
54,2310033P09Rik,other
55,2310036O22Rik,other
56,2310039H08Rik,other
58,2410002F23Rik,other
61,2510039O18Rik,other
63,2600001M11Rik,other
64,2610001J05Rik,other
73,2610507B11Rik,other
76,2700060E02Rik,other
81,2700089E24Rik,other
82,2700089E24Rik_1,other
85,2810025M15Rik,other
98,3110043O21Rik,other
106,4833439L19Rik,other
107,4833439L19Rik_1,other
108,4921524J17Rik,other
111,4931406C07Rik,other
117,5430417L22Rik,other
120,5730559C18Rik,other
121,5830417I10Rik,other
128,6820431F20Rik,other
130,9130019O22Rik,other
134,9530068E07Rik_1,other
136,A230046K03Rik,other
141,A430104N18Rik,other
152,AI503316,other
153,AI503316 _1,other
154,AI504432,other
157,AI837181,other
163,AU020206,other
170,Aak1,other
175,Aamp,other
178,Aarsd1,other
190,Abcc10,other
200,Abcf1_5,other
203,Abcf3_1,other
208,Abcg4_1,other
210,Abhd12_1,other
216,Abhd4,other
218,Abhd5_1,other
222,Abi1_3,other
227,Abtb1,other
231,Acad8_1,other
232,Acad9,other
235,Acads,other
242,Acat2.1,other
245,Acbd6_1,other
246,Acer2_1,other
248,Acly,other
249,Acly_3,other
250,Acly_4,other
251,Aco1,other
252,Aco1_1,other
255,Acot10,other
256,Acot2,other
257,Acot6,other
259,Acot9,other
260,Acp1,other
261,Acp1_1,other
262,Acp1_5,other
264,Acp2_1,other
268,Acsbg1,other
270,Acsl1,other
271,Acsl1_1,other
276,Acsl5,other
277,Acsl6,other
281,Actb_1,other
282,Actb_2,other
283,Actb_3,other
284,Actb_4,other
290,Actn4,other
294,Actr1b_1,other
307,Acyp2,other
309,Adam10_1,other
310,Adam10_2,other
315,Adam4,other
324,Adck1,other
326,Adcy3_1,other
333,Adh5,other
341,Adpgk,other
343,Adprh,other
353,Aff4_1,other
355,Afm_1,other
357,Aftph_1,other
364,Agk,other
369,Agpat1,other
370,Agpat1_1,other
374,Agr3,other
376,Agtrap,other
377,Agtrap_1,other
383,Ahcyl2_2,other
385,Ahdc1_1,other
389,Ahr_1,other
393,Aif1l,other
394,Aifm1,other
396,Aimp1,other
399,Aip,other
401,Ajuba,other
402,Ak1,other
407,Ak3_2,other
413,Akap10,other
422,Akirin1_1,other
425,Akr1a1,other
426,Akr1a1_1,other
429,Akr1b10,other
430,Akr1b10_1,other
431,Akr1b3 _1,other
433,Akr1c12.1,other
434,Akr1c13,other
435,Akr1e1,other
437,Akt1,other
440,Alas1,other
441,Alas1_1,other
443,Aldh16a1,other
449,Aldh1b1,other
453,Aldh9a1,other
454,Aldh9a1_1,other
459,Aldoc_1,other
460,Alg1,other
461,Alg12,other
464,Alg9,other
477,Amd1_1,other
479,Ammecr1l_1,other
480,Ammecr1l_2,other
481,Amn,other
484,Amz2,other
485,Amz2_1,other
