,gene,best_fit
7,0610010K14Rik,other
8,0610011F06Rik,other
10,0610037D15Rik,other
13,0910001A06Rik.1,other
14,1110001A07Rik,other
22,1110012M11Rik,other
25,1110032O16Rik,other
26,1110037F02Rik,other
31,1110049B09Rik,other
32,1110059E24Rik,other
38,1190007F08Rik,other
39,1200003C05Rik.1,other
42,1200003I07Rik.3,other
49,1300018I05Rik,other
56,1500032D16Rik,other
57,1500032D16Rik.1,other
59,1500032L24Rik,other
62,1600027N09Rik,other
64,1700012G19Rik,other
67,1700019G17Rik.2,other
68,1700019N12Rik,other
69,1700023B02Rik,other
76,1700029P11Rik,other
77,1700030K09Rik,other
78,1700037C18Rik,other
79,1700047I17Rik1,other
80,1700047I17Rik1.1,other
84,1700088E04Rik,other
88,1700109H08Rik.1,other
91,1700123O20Rik.1,other
92,1700127D06Rik,other
94,1810009N02Rik,other
95,1810009O10Rik,other
96,1810014F10Rik,other
97,1810020G14Rik,other
98,1810020G14Rik.2,other
99,1810021J13Rik,other
100,1810021J13Rik.1,other
101,1810026J23Rik,other
107,1810044A24Rik,other
109,1810048J11Rik.1,other
110,1810049H13Rik,other
112,2010001J22Rik.1,other
114,2010005J08Rik,other
116,2010007H12Rik.1,other
122,2210009G21Rik,other
125,2210012G02Rik.2,other
127,2210021J22Rik,other
129,2210417D09Rik,other
130,2210418O10Rik.1,other
133,2310003C23Rik.1,other
135,2310003L22Rik.1,other
136,2310004I24Rik,other
138,2310007F21Rik.1,other
142,2310008M10Rik,other
143,2310009B15Rik,other
148,2310016E02Rik.2,other
150,2310033P09Rik,other
151,2310033P09Rik.1,other
154,2310037I24Rik.1,other
155,2310037I24Rik.2,other
156,2310039H08Rik,other
158,2310044H10Rik,other
162,2310047M10Rik,other
165,2310061F22Rik,other
166,2310061F22Rik.1,other
167,2400003C14Rik.1,other
168,2410001C21Rik,other
169,2410001C21Rik.1,other
170,2410002F23Rik.1,other
171,2410002F23Rik.2,other
174,2410004L22Rik,other
175,2410008K03Rik,other
181,2410091C18Rik.1,other
183,2410131K14Rik,other
186,2500003M10Rik.1,other
190,2510012J08Rik.1,other
192,2510048L02Rik,other
198,2610029G23Rik,other
200,2610039C10Rik.1,other
201,2610204K14Rik,other
203,2610207I05Rik.3,other
