,gene,best_fit
2,0610007P14Rik.1,other
4,0610007P22Rik.1,other
6,0610010E21Rik.1,other
7,0610010K14Rik,other
8,0610011F06Rik,other
9,0610025P10Rik,other
10,0610037D15Rik,other
15,1110001A07Rik,other
20,1110007L15Rik.3,other
21,1110007M04Rik,other
22,1110008P14Rik,other
23,1110012M11Rik,other
27,1110032O16Rik,other
28,1110037F02Rik,other
29,1110037F02Rik.1,other
33,1110049B09Rik,other
39,1190005P17Rik.1,other
41,1200003C05Rik,other
42,1200003C05Rik.1,other
47,1200009F10Rik,other
48,1200013P24Rik,other
52,1300010M03Rik.2,other
53,1500002O20Rik,other
59,1500032D16Rik,other
60,1500032D16Rik.1,other
63,1600027N09Rik,other
70,1700021C14Rik,other
71,1700023B02Rik,other
72,1700023B02Rik.1,other
79,1700029G01Rik,other
86,1700065O13Rik.1,other
88,1700067P10Rik,other
90,1700093K21Rik,other
93,1700109H08Rik.1,other
96,1700123O20Rik.1,other
99,1810009N02Rik,other
101,1810014F10Rik,other
102,1810020G14Rik,other
103,1810020G14Rik.2,other
104,1810021J13Rik,other
105,1810021J13Rik.1,other
112,1810044A24Rik,other
113,1810046J19Rik,other
114,1810048J11Rik.1,other
116,1810073G14Rik,other
117,2010001J22Rik,other
121,2010007H12Rik.1,other
125,2010316F05Rik,other
130,2210021J22Rik,other
132,2210417D09Rik,other
133,2210418O10Rik.1,other
134,2310001A20Rik,other
136,2310003C23Rik.1,other
137,2310003F16Rik,other
138,2310003L22Rik.1,other
139,2310004I24Rik,other
143,2310008H04Rik,other
146,2310009B15Rik,other
147,2310011J03Rik,other
148,2310016C08Rik,other
151,2310016E02Rik.2,other
154,2310033P09Rik.1,other
157,2310037I24Rik.1,other
159,2310038H17Rik,other
160,2310039H08Rik,other
162,2310044H10Rik,other
166,2310047M10Rik,other
169,2310061F22Rik,other
170,2310061F22Rik.1,other
171,2400003C14Rik.1,other
174,2410002F23Rik,other
175,2410002F23Rik.1,other
177,2410003P15Rik,other
179,2410004L22Rik,other
180,2410008K03Rik,other
186,2410091C18Rik.1,other
187,2410129H14Rik,other
188,2410131K14Rik,other
189,2410166I05Rik,other
191,2500003M10Rik.1,other
193,2510003E04Rik,other
195,2510012J08Rik.1,other
196,2510039O18Rik,other
198,2610020O08Rik,other
202,2610027C15Rik,other
203,2610027C15Rik.1,other
204,2610029G23Rik,other
208,2610207I05Rik.3,other
209,2610208M17Rik,other
210,2610318N02Rik.1,other
216,2700060E02Rik,other
218,2700062C07Rik,other
219,2700062C07Rik.2,other
222,2810008M24Rik,other
223,2810008M24Rik.1,other
224,2810021B07Rik,other
225,2810046L04Rik,other
227,2810405K02Rik,other
228,2810407C02Rik,other
232,2810408M09Rik.2,other
233,2810410C14Rik,other
235,2810422O20Rik,other
236,2810439F02Rik.1,other
239,2810474O19Rik,other
245,3010026O09Rik,other
247,3110056O03Rik,other
248,3110057O12Rik,other
249,3110057O12Rik.1,other
252,3300001P08Rik,other
253,3300001P08Rik.2,other
254,3300002I08Rik,other
256,3930401K13Rik,other
260,4632404H12Rik.2,other
264,4732418C07Rik.2,other
269,4833405L16Rik,other
270,4833420G17Rik,other
271,4921520G13Rik,other
272,4922501C03Rik.1,other
273,4922502D21Rik,other
277,4930427A07Rik,other
280,4930434E21Rik.1,other
282,4930452B06Rik,other
284,4930503B20Rik.1,other
285,4930503L19Rik,other
288,4930534B04Rik.1,other
289,4930535E21Rik,other
294,4930573I19Rik,other
295,4930573I19Rik.1,other
296,4930578N16Rik,other
298,4930589M24Rik.1,other
299,4931406C07Rik,other
303,4931440B09Rik,other
305,4932417I16Rik,other
307,4932438H23Rik,other
310,4933407H18Rik,other
321,5430432M24Rik.1,other
323,5630401D24Rik.3,other
325,5730403M16Rik,other
328,5730410I19Rik.1,other
329,5730410I19Rik.2,other
334,5730469M10Rik.1,other
336,5730507C01Rik,other
337,5730577I03Rik,other
338,5730590G19Rik,other
341,5830415L20Rik,other
342,5830427D03Rik,other
344,5830457O10Rik.3,other
346,5830472M02Rik.1,other
356,6330503C03Rik,other
360,6430510M02Rik,other
365,6430706D22Rik,other
366,6530403A03Rik,other
367,6720456H20Rik.1,other
368,6720458F09Rik,other
371,6720467C03Rik,other
375,8430410A17Rik,other
377,8430415E04Rik.1,other
