,gene,best_fit
11,0610013E23Rik,other
13,0610037P05Rik,other
20,1110001J03Rik,other
24,1110007A13Rik,other
34,1110018J18Rik,other
49,1110058L19Rik,other
50,1110059E24Rik,other
51,1110065P20Rik,other
60,1200002N14Rik,other
69,1300013J15Rik,other
76,1500011B03Rik,other
82,1600002K03Rik,other
83,1600021P15Rik,other
87,1700013G10Rik,other
91,1700019H03Rik,other
93,1700022C21Rik,other
94,1700023B02Rik,other
95,1700025G04Rik,other
101,1700030K09Rik,other
106,1700056E22Rik,other
107,1700065O13Rik,other
110,1700109H08Rik,other
120,1810020D17Rik,other
125,1810032O08Rik,other
135,1810064F22Rik,other
141,2010005H15Rik,other
142,2010007H12Rik,other
143,2010011I20Rik,other
148,2010109I03Rik,other
156,2210012G02Rik,other
157,2210015D19Rik,other
166,2310002B06Rik,other
167,2310003F16Rik,other
172,2310005N03Rik,other
174,2310007B03Rik,other
176,2310008H04Rik,other
188,2310044G17Rik,other
191,2310046K01Rik,other
195,2310051N18Rik,other
200,2310079N02Rik,other
202,2410003P15Rik,other
206,2410008K03Rik,other
207,2410012H22Rik,other
212,2410018G20Rik,other
214,2410075B13Rik,other
215,2410091C18Rik,other
218,2410146L05Rik,other
225,2600011E07Rik,other
232,2610044O15Rik,other
233,2610204K14Rik,other
235,2610207I05Rik,other
246,2700097O09Rik,other
255,2810055F11Rik,other
256,2810405J04Rik,other
257,2810407C02Rik,other
259,2810432D09Rik,other
263,2900024C23Rik,other
275,3110021N24Rik,other
280,3222402P14Rik,other
286,4631427C17Rik,other
292,4732429D16Rik,other
299,4833439L19Rik,other
300,4833442J19Rik,other
306,4930408O21Rik,other
307,4930422G04Rik,other
309,4930431B09Rik,other
312,4930455F23Rik,other
317,4930506M07Rik,other
318,4930509G22Rik,other
322,4930544G21Rik,other
329,4930583H14Rik,other
331,4931406C07Rik,other
333,4931440F15Rik,other
340,4933421E11Rik,other
344,4Cytl1,other
345,5031439G07Rik,other
346,5033414D02Rik,other
350,5330401P04Rik,other
354,5430433G21Rik,other
