,gene,best_fit
26,1700028I16Rik,other
33,1700088E04Rik,other
40,1810014B01Rik,other
42,1810055G02Rik,other
48,2210408I21Rik,other
51,2310022A10Rik,other
55,2310043M15Rik,other
78,4833439L19Rik,other
107,4933439C10Rik,other
142,9930111J21Rik1,other
151,A530017D24Rik,other
162,AA414768,other
171,Aaas,other
173,Aagab,other
188,Abhd14b,other
196,Abr,other
202,Acadvl,other
213,Aco1,other
214,Aco2,other
221,Acrbp,other
227,Acsl5,other
232,Actr1a,other
248,Adamts17,other
250,Adamts4,other
257,Adcy9,other
258,Adcyap1r1,other
259,Adgra3,other
261,Adgre1,other
262,Adgrg5,other
279,Afap1l1,other
297,Ahcy,other
311,Akap17b,other
312,Akap6,other
321,Akr1e1,other
327,Aldh1a2,other
334,Aldh7a1,other
336,Aldoc,other
337,Alg13,other
348,Als2cl,other
350,Amigo2,other
358,Anapc11,other
366,Ankrd24,other
376,Ankrd52,other
382,Anp32e,other
388,Anxa5,other
389,Anxa6,other
390,Anxa7,other
398,Ap2m1,other
399,Ap2m1-ps,other
405,Ap5z1,other
406,Apaf1,other
409,Apbb1ip,other
412,Aplp1,other
415,Apobec3,other
426,App,other
436,Arf4,other
442,Arhgap28,other
443,Arhgap29,other
446,Arhgap32,other
451,Arhgap6,other
455,Arhgef10l,other
456,Arhgef11,other
458,Arhgef18,other
474,Arl6,other
479,Armcx4,other
480,Armcx6,other
487,Arrb2,other
491,Art2a,other
499,Asap2,other
505,Asb6,other
507,Ash2l,other
525,Atox1,other
531,Atp1a3,other
532,Atp1b1,other
537,Atp5b,other
538,Atp5c1,other
540,Atp5j,other
542,Atp5md,other
554,Atpaf2,other
557,Auh,other
568,B3galnt1,other
570,B3galt2,other
575,B3gnt7,other
580,B430306N03Rik,other
594,BC034090,other
623,Bcl2l11,other
626,Bcl7b,other
631,Bend4,other
632,Bend7,other
638,Bicd1,other
654,Bnip3,other
664,Bscl2,other
668,Bspry,other
674,Btbd3,other
695,C230035I16Rik,other
696,C230038L03Rik,other
701,C330013E15Rik,other
702,C3ar1,other
703,C4a,other
706,C730034F03Rik,other
707,C77080,other
708,C87436,other
713,Cacna1c,other
727,Calca,other
734,Calr,other
735,Calu,other
737,Camk1,other
738,Camk2b,other
747,Capn3,other
749,Capns1,other
756,Card6,other
761,Casc1,other
765,Casp3,other
767,Casp6,other
768,Casp8ap2,other
771,Castor1,other
773,Catip,other
778,Cavin1,other
783,Cbr3,other
787,Cbx2,other
789,Cbx7,other
792,Ccar1,other
800,Ccdc136,other
812,Ccdc25,other
816,Ccdc47,other
833,Ccl9,other
837,Ccn5,other
845,Ccr2,other
850,Ccz1,other
852,Cd14,other
857,Cd200r3,other
860,Cd244a,other
867,Cd38,other
877,Cd63,other
883,Cd81,other
885,Cd86,other
887,Cd93,other
888,Cda,other
893,Cdc25a,other
894,Cdc34,other
897,Cdc42ep5,other
899,Cdc73,other
902,Cdh1,other
905,Cdh17,other
908,Cdhr3,other
911,Cdk18,other
913,Cdk5rap3,other
922,Cdkn2aipnl,other
944,Cep250,other
951,Cfap20,other
954,Cfap36,other
957,Cfap77,other
969,Chfr,other
977,Chn2,other
979,Chrna1os,other
988,Chst3,other
989,Chsy1,other
991,Cib1,other
992,Cibar1,other
995,Cited1,other
1001,Clasp1,other
1013,Cldnd1,other
1017,Clec2l,other
1019,Clec4e,other
1026,Clip2,other
1032,Clnk,other
1033,Clpb,other
1046,Cnga1,other
1054,Cnot10,other
1055,Cnot3,other
1057,Cnot9,other
