,gene,p,comp,f-test
0,0610012G03Rik,0.9985693754967503,expo_gamma,ns
1,1110012L19Rik,0.046016089239368396,expo_gamma,sig
2,1110017D15Rik,0.07607584344519513,expo_gamma,ns
3,1110032A03Rik,1.0,expo_gamma,ns
4,1110032F04Rik,0.998505711452131,expo_gamma,ns
5,1110051M20Rik,0.7374912764643904,expo_gamma,ns
6,1110059G10Rik,0.10675463665718021,expo_gamma,ns
7,1600012H06Rik,1.0,expo_gamma,ns
8,1700003F12Rik,0.10879240468988638,expo_gamma,ns
9,1700010I14Rik,1.0,expo_gamma,ns
10,1700017B05Rik,1.9984014443252818e-15,expo_gamma,sig
11,1700019D03Rik,2.7439913674598415e-09,expo_gamma,sig
12,1700020L24Rik,0.013680818719718824,expo_gamma,sig
13,1700025G04Rik,1.1102230246251565e-16,expo_gamma,sig
14,1700029J07Rik,0.7057365006677134,expo_gamma,ns
15,1810009J06Rik,0.0040308400584742055,expo_gamma,sig
16,1810055G02Rik,0.9976177663809606,expo_gamma,ns
17,2210016F16Rik,0.0908151998727732,expo_gamma,ns
18,2310033P09Rik,0.020871915180785683,expo_gamma,sig
19,2310057M21Rik,0.43552167193408786,expo_gamma,ns
20,2310061N02Rik,0.07457601954685056,expo_gamma,ns
21,2610001J05Rik,1.2360112933151868e-12,expo_gamma,sig
22,2610002M06Rik,0.007895609241276635,expo_gamma,sig
23,2610301B20Rik,0.22591658305279483,expo_gamma,ns
24,2610507B11Rik,0.1950906473389884,expo_gamma,ns
25,2700049A03Rik,0.3498226139293551,expo_gamma,ns
26,2700081O15Rik,0.2257156201501066,expo_gamma,ns
27,2810408A11Rik,1.0,expo_gamma,ns
28,3110009E18Rik,0.6147203452350869,expo_gamma,ns
29,4833420G17Rik,1.0,expo_gamma,ns
30,4921524J17Rik,1.60078692317267e-05,expo_gamma,sig
31,4930453N24Rik,0.03969197076322484,expo_gamma,sig
32,4930486L24Rik,0.0066217461753391715,expo_gamma,sig
33,4930522L14Rik,0.9980034396723235,expo_gamma,ns
34,4931406C07Rik,0.002996066451883328,expo_gamma,sig
35,5430427O19Rik,8.542611062978267e-12,expo_gamma,sig
36,6330403K07Rik,1.307918218174109e-10,expo_gamma,sig
37,9030624G23Rik,0.02543483507040356,expo_gamma,sig
38,9130008F23Rik,0.20728680671742894,expo_gamma,ns
39,9130023H24Rik,2.8440944659813283e-05,expo_gamma,sig
40,A430033K04Rik,1.0,expo_gamma,ns
41,AB124611,0.14441028704258374,expo_gamma,ns
42,AI413582,1.0,expo_gamma,ns
43,Aak1,0.6988981575618487,expo_gamma,ns
44,Aamp,0.9990525167581555,expo_gamma,ns
45,Aar2,0.7444032140038153,expo_gamma,ns
46,Aasdh,0.17981338181167617,expo_gamma,ns
47,Aatf,0.0008462777042294034,expo_gamma,sig
48,Abcb1a,1.0,expo_gamma,ns
49,Abcb1b,0.9995384132912809,expo_gamma,ns
50,Abcb6,0.01448506196899535,expo_gamma,sig
51,Abcc3,1.3631125881374828e-06,expo_gamma,sig
52,Abcc5,1.0,expo_gamma,ns
53,Abcd1,0.09305921723395316,expo_gamma,ns
54,Abcd2,1.0,expo_gamma,ns
55,Abce1,0.005831857574344568,expo_gamma,sig
56,Abhd10,0.38649379061376443,expo_gamma,ns
57,Abi3,0.0825968664723078,expo_gamma,ns
58,Abl1,1.0,expo_gamma,ns
59,Abl2,0.09620758882075497,expo_gamma,ns
60,Abraxas1,0.009785943691206,expo_gamma,sig
61,Abt1,0.030358194323415133,expo_gamma,sig
62,Abtb2,1.0,expo_gamma,ns
63,Acaa2,1.5060681790579622e-07,expo_gamma,sig
64,Acad8,0.9997044711179061,expo_gamma,ns
65,Acadm,0.0029194753409590435,expo_gamma,sig
66,Acads,0.17733589406610384,expo_gamma,ns
67,Acadvl,0.2200989747454709,expo_gamma,ns
68,Acap1,0.48248801069426683,expo_gamma,ns
69,Acat1,0.016914044941329087,expo_gamma,sig
70,Acnat1,0.07421389731143302,expo_gamma,ns
71,Acot10,0.06376094362934892,expo_gamma,ns
72,Acot9,0.03125841421458264,expo_gamma,sig
73,Acox1,0.008168763209390195,expo_gamma,sig
74,Acsl3,6.078816561227995e-09,expo_gamma,sig
75,Actn1,1.0,expo_gamma,ns
76,Actr3,0.05858091628890183,expo_gamma,ns
77,Actr6,0.9998819260471333,expo_gamma,ns
78,Actr8,0.9992978060711033,expo_gamma,ns
79,Actrt3,0.025649116743513,expo_gamma,sig
80,Acyp1,0.06874422716458584,expo_gamma,ns
81,Ada,0.999922855091084,expo_gamma,ns
82,Adal,0.0,expo_gamma,sig
83,Adam15,0.0886996289375761,expo_gamma,ns
84,Adamts10,0.997696545867164,expo_gamma,ns
85,Adck2,1.0,expo_gamma,ns
86,Adcy7,0.01325288303238703,expo_gamma,sig
87,Add1,5.685641092600946e-06,expo_gamma,sig
88,Add3,1.0,expo_gamma,ns
89,Adgra1,0.016082012895037967,expo_gamma,sig
90,Adgrb2,0.1093813150705133,expo_gamma,ns
91,Adgrd1,0.20534264668649527,expo_gamma,ns
92,Adgrg5,0.3261495401319897,expo_gamma,ns
93,Adgrl1,1.0,expo_gamma,ns
94,Adh4,0.008276633901009411,expo_gamma,sig
95,Adh5,0.06608760636294153,expo_gamma,ns
96,Adi1,1.0,expo_gamma,ns
97,Adk,0.9975404945623513,expo_gamma,ns
98,Adm2,0.006087164161609149,expo_gamma,sig
99,Adora2a,0.9933565773166065,expo_gamma,ns
100,Adpgk,0.6617085330341865,expo_gamma,ns
101,Adprm,3.8100516575045873e-07,expo_gamma,sig
102,Adrb1,0.02033052597878393,expo_gamma,sig
103,Aen,1.0,expo_gamma,ns
104,Aftph,0.02551462553460615,expo_gamma,sig
105,Agap3,0.020814516410184947,expo_gamma,sig
106,Agfg1,0.05965141459641321,expo_gamma,ns
107,Agk,0.008539837834252606,expo_gamma,sig
108,Agl,1.0,expo_gamma,ns
109,Ago1,0.023720267014402774,expo_gamma,sig
110,Ago2,0.0,expo_gamma,sig
111,Agps,0.14120154783755112,expo_gamma,ns
112,Agtpbp1,0.024769109820464097,expo_gamma,sig
113,Ahcyl2,0.00036009999835373563,expo_gamma,sig
114,Ahi1,0.9986123386899175,expo_gamma,ns
115,Ahsa2,0.3135111507208318,expo_gamma,ns
116,Aig1,0.07270559673003274,expo_gamma,ns
117,Akap11,0.9993936497389484,expo_gamma,ns
118,Akap5,0.014932229592651614,expo_gamma,sig
119,Akap9,0.9988298692902945,expo_gamma,ns
120,Akr7a5,0.08035792722671375,expo_gamma,ns
121,Alas1,0.06654144628807779,expo_gamma,ns
122,Alg11,0.09552724529704926,expo_gamma,ns
123,Alkbh8,0.024885944185398245,expo_gamma,sig
124,Ammecr1l,1.0,expo_gamma,ns
125,Amn,0.0450229966435135,expo_gamma,sig
126,Ampd1,1.0,expo_gamma,ns
127,Amz2,0.9996774085369214,expo_gamma,ns
128,Anapc10,0.01498147247446957,expo_gamma,sig
129,Ank3,0.16431916974468286,expo_gamma,ns
130,Ankrd11,0.9989492520680281,expo_gamma,ns
131,Ankrd13a,0.1536732483713532,expo_gamma,ns
132,Ankrd16,1.0,expo_gamma,ns
133,Ankrd26,0.039889131466887995,expo_gamma,sig
134,Ankrd34a,0.0001481082687322388,expo_gamma,sig
135,Ankrd44,0.042296644852155674,expo_gamma,sig
136,Ankrd46,0.3151030529405954,expo_gamma,ns
137,Ankrd49,0.0027528498323036166,expo_gamma,sig
138,Ankrd50,1.1102230246251565e-16,expo_gamma,sig
139,Ankrd54,0.1470552605356955,expo_gamma,ns
140,Ankrd55,0.11735990073718716,expo_gamma,ns
141,Ano6,0.11955322060132711,expo_gamma,ns
142,Antxr2,0.45519612610621807,expo_gamma,ns
143,Ap2a2,0.0007283551667652821,expo_gamma,sig
144,Ap3b2,0.004314204424427426,expo_gamma,sig
145,Ap3m1,0.004235279734478126,expo_gamma,sig
146,Ap3s1,0.998513147259829,expo_gamma,ns
147,Ap5m1,0.2953359830025294,expo_gamma,ns
148,Apex1,0.10300172519403228,expo_gamma,ns
149,Aph1a,0.9998023262859782,expo_gamma,ns
150,Apln,0.999617293523325,expo_gamma,ns
151,Aplp2,1.0,expo_gamma,ns
152,Apoc4,0.07859923774814948,expo_gamma,ns
153,Apoe,0.15345611058922393,expo_gamma,ns
154,Apof,0.09918037384563594,expo_gamma,ns
155,Apol9a,0.9995071892707681,expo_gamma,ns
156,App,0.018935305147600334,expo_gamma,sig
157,Aqp5,0.02519727970403629,expo_gamma,sig
158,Aqr,0.0019204290838956695,expo_gamma,sig
159,Ar,0.0,expo_gamma,sig
160,Arap1,0.004072805619622755,expo_gamma,sig
161,Areg,0.9989333863232097,expo_gamma,ns
162,Arf5,0.6245449765620468,expo_gamma,ns
163,Arfgef2,0.12600746800937745,expo_gamma,ns
164,Arfrp1,0.13286735848870757,expo_gamma,ns
165,Arglu1,0.9998312097696944,expo_gamma,ns
166,Arhgap26,1.1102230246251565e-16,expo_gamma,sig
167,Arhgap35,0.017592279329405658,expo_gamma,sig
168,Arhgap9,0.5872043953841608,expo_gamma,ns
169,Arhgef1,0.03518312660238898,expo_gamma,sig
170,Arhgef7,0.0001459128139231769,expo_gamma,sig
171,Arid1a,1.0,expo_gamma,ns
172,Arid2,1.0,expo_gamma,ns
173,Arid3b,1.0,expo_gamma,ns
174,Arid5a,0.1344710543082358,expo_gamma,ns
175,Arih2,1.0,expo_gamma,ns
176,Arl11,0.44761412065798056,expo_gamma,ns
177,Arl13b,0.0016158805035139112,expo_gamma,sig
178,Arl14ep,0.0030100975331877056,expo_gamma,sig
179,Arl4a,0.09076666360717289,expo_gamma,ns
180,Arl4d,0.05873253422817337,expo_gamma,ns
181,Arl5b,0.024130222272949475,expo_gamma,sig
182,Arl5c,0.1980241136293911,expo_gamma,ns
183,Arl6ip5,0.12431361622157877,expo_gamma,ns
184,Arl6ip6,0.12406894275880054,expo_gamma,ns
185,Armcx2,0.11052722124949654,expo_gamma,ns
186,Armcx3,0.03449859682195955,expo_gamma,sig
187,Armcx4,0.1290726998677566,expo_gamma,ns
188,Arntl,0.04643191337089925,expo_gamma,sig
189,Arpc3,0.9990669443100103,expo_gamma,ns
190,Arpc5l,0.029531622870468177,expo_gamma,sig
191,Arrdc1,0.2179035821315629,expo_gamma,ns
192,Arrdc3,0.00976863104787129,expo_gamma,sig
193,Arv1,0.9997677919292641,expo_gamma,ns
194,Arxes2,0.19646869135154865,expo_gamma,ns
195,As3mt,0.21003622224322427,expo_gamma,ns
196,Asap2,0.31817958201471963,expo_gamma,ns
197,Asb2,0.00011090102175514982,expo_gamma,sig
198,Ascl2,0.016845202261010495,expo_gamma,sig
199,Asf1a,0.09822723706505765,expo_gamma,ns
200,Aspscr1,0.14999246178215653,expo_gamma,ns
201,Ass1,0.18813365765351187,expo_gamma,ns
202,Aste1,0.18839732852014424,expo_gamma,ns
203,Atad2b,0.46248407947140546,expo_gamma,ns
204,Atad3a,0.27816165129922643,expo_gamma,ns
205,Atcay,0.9741672284215821,expo_gamma,ns
206,Atf2,4.4997339188057595e-13,expo_gamma,sig
207,Atf3,1.0,expo_gamma,ns
208,Atg101,0.9990997161822311,expo_gamma,ns
209,Atg13,0.009169879771598999,expo_gamma,sig
210,Atg16l2,0.07542572337122389,expo_gamma,ns
211,Atg5,0.010807645704415614,expo_gamma,sig
212,Atm,0.4133061375167477,expo_gamma,ns
213,Atp11a,0.10662930679048765,expo_gamma,ns
214,Atp11b,0.9994826937971012,expo_gamma,ns
215,Atp1a3,0.2470758353641438,expo_gamma,ns
216,Atp23,0.42772528814458655,expo_gamma,ns
217,Atp2a3,0.11718930729911059,expo_gamma,ns
218,Atp5e,0.00024841559407762226,expo_gamma,sig
219,Atp5h,0.0,expo_gamma,sig
220,Atp5md,0.0011520903192128173,expo_gamma,sig
221,Atp6v0d1,0.9997194213564641,expo_gamma,ns
222,Atp6v0e,1.0,expo_gamma,ns
223,Atp6v1e1,1.0,expo_gamma,ns
224,Atp6v1f,1.0,expo_gamma,ns
225,Atp6v1g1,1.0,expo_gamma,ns
226,Atp9a,0.055706723628211496,expo_gamma,ns
227,Atr,1.0,expo_gamma,ns
228,Atrip,0.22297860747535436,expo_gamma,ns
229,Atrx,0.2795858999304034,expo_gamma,ns
230,Atxn10,1.0,expo_gamma,ns
231,Atxn2,1.0,expo_gamma,ns
232,Atxn3,1.0,expo_gamma,ns
233,Atxn7l3,0.039489658365316704,expo_gamma,sig
234,Atxn7l3b,0.9999949161303902,expo_gamma,ns
235,Auh,0.9991158177439742,expo_gamma,ns
236,Avil,1.0,expo_gamma,ns
237,Avl9,0.16417913314536714,expo_gamma,ns
238,Avpi1,0.8376599186054071,expo_gamma,ns
239,Axin1,0.9926569250418237,expo_gamma,ns
240,Axin2,0.04144182210905922,expo_gamma,sig
241,Aym1,0.08126933144040227,expo_gamma,ns
242,Azi2,7.809918920387293e-05,expo_gamma,sig
243,B230219D22Rik,1.0,expo_gamma,ns
244,B230307C23Rik,1.0,expo_gamma,ns
245,B3galnt2,1.0,expo_gamma,ns
246,B3gnt2,1.0,expo_gamma,ns
247,B3gnt5,1.2540232021240882e-05,expo_gamma,sig
248,B4galnt1,0.9987403363248699,expo_gamma,ns
249,B4galnt4,1.0,expo_gamma,ns
250,B4galt3,0.5965344841432647,expo_gamma,ns
