readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,1.7798941089218412,Null,thres,0.7,0.0,1.0,beta_p
Area,10.16919041291218,Null,thres,0.7,0.0,1.0,beta_p
Peaktime,2.5999018181471927,Null,thres,0.7,0.0,1.0,beta_p
Decay,19.697596884562184,Null,thres,0.7,0.0,1.0,beta_p
Peak,1.8870588625862514,Null,thres,1.167670376040041,0.08434801166960149,1.6681005372000588,beta_p
Area,13.586636318319766,Null,thres,1.167670376040041,0.417983499967203,1.6681005372000588,beta_p
Peaktime,2.6007129469406722,Null,thres,1.167670376040041,0.00045002814098810313,1.6681005372000588,beta_p
Decay,19.866103667735704,Null,thres,1.167670376040041,0.012289314045128185,1.6681005372000588,beta_p
Peak,1.9657706477777241,Null,thres,1.5,0.14330359441880078,2.142857142857143,beta_p
Area,17.41680148335257,Null,thres,1.5,0.7762748755726747,2.142857142857143,beta_p
Peaktime,2.60256622319637,Null,thres,1.5,0.0014777310526062429,2.142857142857143,beta_p
Decay,19.885140211070706,Null,thres,1.5,0.01367110369922326,2.142857142857143,beta_p
Peak,2.0768042486481377,Null,thres,1.947791581544987,0.22257382624403596,2.7825594022071245,beta_p
Area,25.11705403416441,Null,thres,1.947791581544987,1.3044624329383119,2.7825594022071245,beta_p
Peaktime,2.61032860528415,Null,thres,1.947791581544987,0.005774291328287871,2.7825594022071245,beta_p
Decay,19.364224769449553,Null,thres,1.947791581544987,-0.024625885558743173,2.7825594022071245,beta_p
Peak,2.156473493656472,Null,thres,2.25,0.2768825696421232,3.2142857142857144,beta_p
Area,34.358712233538725,Null,thres,2.25,1.7564711369145551,3.2142857142857144,beta_p
Peaktime,2.6217843075594875,Null,thres,2.25,0.01209185807337157,3.2142857142857144,beta_p
Decay,19.843521891411893,Null,thres,2.25,0.010648471565757357,3.2142857142857144,beta_p
Peak,,Null,thres,3.0,,4.285714285714286,beta_p
Area,,Null,thres,3.0,,4.285714285714286,beta_p
Peaktime,,Null,thres,3.0,,4.285714285714286,beta_p
Decay,,Null,thres,3.0,,4.285714285714286,beta_p
Peak,,Null,thres,3.2491121835289447,,4.641588833612778,beta_p
Area,,Null,thres,3.2491121835289447,,4.641588833612778,beta_p
Peaktime,,Null,thres,3.2491121835289447,,4.641588833612778,beta_p
Decay,,Null,thres,3.2491121835289447,,4.641588833612778,beta_p
Peak,,Null,thres,5.419845778767889,,7.74263682681127,beta_p
Area,,Null,thres,5.419845778767889,,7.74263682681127,beta_p
Peaktime,,Null,thres,5.419845778767889,,7.74263682681127,beta_p
Decay,,Null,thres,5.419845778767889,,7.74263682681127,beta_p
Peak,,Null,thres,9.040847655104187,,12.915496650148839,beta_p
Area,,Null,thres,9.040847655104187,,12.915496650148839,beta_p
Peaktime,,Null,thres,9.040847655104187,,12.915496650148839,beta_p
Decay,,Null,thres,9.040847655104187,,12.915496650148839,beta_p
Peak,,Null,thres,15.08104283022318,,21.54434690031883,beta_p
Area,,Null,thres,15.08104283022318,,21.54434690031883,beta_p
Peaktime,,Null,thres,15.08104283022318,,21.54434690031883,beta_p
Decay,,Null,thres,15.08104283022318,,21.54434690031883,beta_p
Peak,,Null,thres,25.156695646632386,,35.93813663804627,beta_p
Area,,Null,thres,25.156695646632386,,35.93813663804627,beta_p
Peaktime,,Null,thres,25.156695646632386,,35.93813663804627,beta_p
Decay,,Null,thres,25.156695646632386,,35.93813663804627,beta_p
Peak,,Null,thres,41.96389752232587,,59.94842503189411,beta_p
Area,,Null,thres,41.96389752232587,,59.94842503189411,beta_p
Peaktime,,Null,thres,41.96389752232587,,59.94842503189411,beta_p
Decay,,Null,thres,41.96389752232587,,59.94842503189411,beta_p
Peak,,Null,thres,70.0,,100.0,beta_p
Area,,Null,thres,70.0,,100.0,beta_p
Peaktime,,Null,thres,70.0,,100.0,beta_p
Decay,,Null,thres,70.0,,100.0,beta_p
Peak,1.7798941089218396,Carrying Capacity,thres,0.7,0.0,1.0,beta_p
Area,10.680292872743355,Carrying Capacity,thres,0.7,0.0,1.0,beta_p
Peaktime,2.599901818147175,Carrying Capacity,thres,0.7,0.0,1.0,beta_p
Decay,45.75991661253379,Carrying Capacity,thres,0.7,0.0,1.0,beta_p
Peak,1.8870588625862554,Carrying Capacity,thres,1.167670376040041,0.08434801166960572,1.6681005372000588,beta_p
Area,15.364138543576296,Carrying Capacity,thres,1.167670376040041,0.5246156694563363,1.6681005372000588,beta_p
Peaktime,2.600712946940678,Carrying Capacity,thres,1.167670376040041,0.0004500281410012331,1.6681005372000588,beta_p
Decay,62.78334158629448,Carrying Capacity,thres,1.167670376040041,0.4562973939741887,1.6681005372000588,beta_p
Peak,1.965770647777723,Carrying Capacity,thres,1.5,0.14330359441880108,2.142857142857143,beta_p
Area,22.26671499071579,Carrying Capacity,thres,1.5,1.0599375241240758,2.142857142857143,beta_p
Peaktime,2.6025662231963698,Carrying Capacity,thres,1.5,0.0014777310526158435,2.142857142857143,beta_p
Decay,89.28771665047923,Carrying Capacity,thres,1.5,0.9643772936992252,2.142857142857143,beta_p
Peak,2.0768042486481377,Carrying Capacity,thres,1.947791581544987,0.22257382624403704,2.7825594022071245,beta_p
Area,52.21793932857985,Carrying Capacity,thres,1.947791581544987,2.289594316993466,2.7825594022071245,beta_p
Peaktime,2.61032860528413,Carrying Capacity,thres,1.947791581544987,0.005774291328286595,2.7825594022071245,beta_p
Decay,200.00195643239044,Carrying Capacity,thres,1.947791581544987,2.1278577843731865,2.7825594022071245,beta_p
Peak,2.1564734936564736,Carrying Capacity,thres,2.25,0.27688256964212554,3.2142857142857144,beta_p
Area,345.9177385703991,Carrying Capacity,thres,2.25,5.017405882668647,3.2142857142857144,beta_p
Peaktime,2.6217843075594707,Carrying Capacity,thres,2.25,0.012091858073372205,3.2142857142857144,beta_p
Decay,1308.4851565297433,Carrying Capacity,thres,2.25,4.837669325183126,3.2142857142857144,beta_p
Peak,1019.3844497905126,Carrying Capacity,thres,3.0,9.161691121961063,4.285714285714286,beta_p
Area,17223.083961821525,Carrying Capacity,thres,3.0,10.655176570353149,4.285714285714286,beta_p
Peaktime,85.68807366346343,Carrying Capacity,thres,3.0,5.042565371535907,4.285714285714286,beta_p
Decay,142.69153569455915,Carrying Capacity,thres,3.0,1.6407434300295218,4.285714285714286,beta_p
Peak,1002.2351425603258,Carrying Capacity,thres,3.2491121835289447,9.137213901737635,4.641588833612778,beta_p
Area,13867.323178260704,Carrying Capacity,thres,3.2491121835289447,10.342522405642358,4.641588833612778,beta_p
