Unnamed: 0,time,variable,value,cell,name,eps
0,9.0,Tfh_Arm,1195653.45050845,Tfh_all,Arm,80000.0
1,30.0,Tfh_Arm,80700.0147667497,Tfh_all,Arm,50000.0
2,60.0,Tfh_Arm,34226.9397968502,Tfh_all,Arm,20000.0
3,9.0,NonTfh_Arm,1835938.347605,Th1_all,Arm,80000.0
4,30.0,NonTfh_Arm,77470.30307432389,Th1_all,Arm,50000.0
5,60.0,NonTfh_Arm,74369.8483299462,Th1_all,Arm,20000.0
6,9.0,Tfh_Cl13,79822.8331607394,Tfh_all,Cl13,20000.0
7,30.0,Tfh_Cl13,121629.034490956,Tfh_all,Cl13,50000.0
8,60.0,Tfh_Cl13,76867.3614223879,Tfh_all,Cl13,20000.0
9,9.0,NonTfh_Cl13,282837.485631141,Th1_all,Cl13,20000.0
10,30.0,NonTfh_Cl13,121629.034490956,Th1_all,Cl13,50000.0
11,60.0,NonTfh_Cl13,36954.097347714705,Th1_all,Cl13,20000.0
